modGenes	module	colourRGB
ENSBTAG00000011721	white	#FFFFFF
ENSBTAG00000011727	yellow	#FFFF00
ENSBTAG00000011729	turquoise	#40E0D0
ENSBTAG00000011732	turquoise	#40E0D0
ENSBTAG00000011736	red	#FF0000
ENSBTAG00000011738	blue	#0000FF
ENSBTAG00000011741	red	#FF0000
ENSBTAG00000011742	yellow	#FFFF00
ENSBTAG00000011744	blue	#0000FF
ENSBTAG00000011748	magenta	#FF00FF
ENSBTAG00000011752	red	#FF0000
ENSBTAG00000011754	turquoise	#40E0D0
ENSBTAG00000011757	royalblue	#4169E1
ENSBTAG00000011758	blue	#0000FF
ENSBTAG00000011759	orange	#FFA500
ENSBTAG00000011763	yellow	#FFFF00
ENSBTAG00000011767	tan	#D2B48C
ENSBTAG00000011772	blue	#0000FF
ENSBTAG00000011785	purple	#A020F0
ENSBTAG00000011788	turquoise	#40E0D0
ENSBTAG00000011789	purple	#A020F0
ENSBTAG00000011790	yellow	#FFFF00
ENSBTAG00000011793	turquoise	#40E0D0
ENSBTAG00000011796	turquoise	#40E0D0
ENSBTAG00000011798	midnightblue	#191970
ENSBTAG00000011808	lightgreen	#90EE90
ENSBTAG00000011812	darkgreen	#006400
ENSBTAG00000011815	turquoise	#40E0D0
ENSBTAG00000011819	turquoise	#40E0D0
ENSBTAG00000011823	brown	#A52A2A
ENSBTAG00000011826	turquoise	#40E0D0
ENSBTAG00000011828	brown	#A52A2A
ENSBTAG00000011829	turquoise	#40E0D0
ENSBTAG00000011831	greenyellow	#ADFF2F
ENSBTAG00000011832	blue	#0000FF
ENSBTAG00000011834	midnightblue	#191970
ENSBTAG00000011839	pink	#FFC0CB
ENSBTAG00000011841	blue	#0000FF
ENSBTAG00000011849	pink	#FFC0CB
ENSBTAG00000011850	green	#00FF00
ENSBTAG00000011851	black	#000000
ENSBTAG00000011855	turquoise	#40E0D0
ENSBTAG00000011857	green	#00FF00
ENSBTAG00000011859	green	#00FF00
ENSBTAG00000011860	green	#00FF00
ENSBTAG00000011871	turquoise	#40E0D0
ENSBTAG00000011875	blue	#0000FF
ENSBTAG00000011876	greenyellow	#ADFF2F
ENSBTAG00000011880	turquoise	#40E0D0
ENSBTAG00000011883	brown	#A52A2A
ENSBTAG00000011885	green	#00FF00
ENSBTAG00000011887	brown	#A52A2A
ENSBTAG00000011893	turquoise	#40E0D0
ENSBTAG00000011894	turquoise	#40E0D0
ENSBTAG00000011895	green	#00FF00
ENSBTAG00000011899	midnightblue	#191970
ENSBTAG00000011904	turquoise	#40E0D0
ENSBTAG00000011905	black	#000000
ENSBTAG00000011912	brown	#A52A2A
ENSBTAG00000011913	turquoise	#40E0D0
ENSBTAG00000011916	midnightblue	#191970
ENSBTAG00000011921	turquoise	#40E0D0
ENSBTAG00000011922	turquoise	#40E0D0
ENSBTAG00000011924	blue	#0000FF
ENSBTAG00000011928	yellow	#FFFF00
ENSBTAG00000011930	brown	#A52A2A
ENSBTAG00000011932	yellow	#FFFF00
ENSBTAG00000011936	turquoise	#40E0D0
ENSBTAG00000011940	yellow	#FFFF00
ENSBTAG00000011946	green	#00FF00
ENSBTAG00000011950	turquoise	#40E0D0
ENSBTAG00000011953	tan	#D2B48C
ENSBTAG00000011954	brown	#A52A2A
ENSBTAG00000011957	midnightblue	#191970
ENSBTAG00000011959	blue	#0000FF
ENSBTAG00000011964	blue	#0000FF
ENSBTAG00000011970	turquoise	#40E0D0
ENSBTAG00000011984	turquoise	#40E0D0
